No,ワイン種別,タイトル,生産者,ヴィンテージ,産地,品種,容量ml,価格帯,想定小売価格,本数,在庫金額,再現性,ポジション
18,スパークリング,ペリエ・ジュエ ベル エポック ロゼ 2013,Perrier-Jouët,2013,フランス / シャンパーニュ,Pinot Noir / Chardonnay / Meunier,750,D(10〜20万),130000,2,260000,△,希少ロゼ。写真需要が強い
19,スパークリング,クリュッグ ロゼ NV,Krug,,フランス / シャンパーニュ,Pinot Noir / Chardonnay / Meunier,750,D(10〜20万),170000,1,170000,△,帯D最上段。1本のみ常備
20,スパークリング,ドン ペリニヨン P2 2005,Dom Pérignon,2005,フランス / シャンパーニュ,Chardonnay / Pinot Noir,750,象徴(20万〜),280000,2,560000,△,唯一の20万超。棚の頂点
21,白,クラウディ・ベイ ソーヴィニヨン ブラン 2024,Cloudy Bay,2024,ニュージーランド / マールボロ,Sauvignon Blanc,750,A(〜3万),12000,4,48000,◎,白の入口。和食・前菜に合う
22,白,シャブリ 1er クリュ ヴァイヨン 2022,William Fèvre,2022,フランス / ブルゴーニュ,Chardonnay,750,A(〜3万),18000,4,72000,◎,寿司・魚介の鉄板
23,白,ムルソー 2022,Louis Jadot,2022,フランス / ブルゴーニュ,Chardonnay,750,A(〜3万),28000,3,84000,◎,ムルソーの名前で売れる
24,白,シャルドネ レ ノワゼティエ 2022,Kistler,2022,アメリカ / ソノマ・コースト,Chardonnay,750,B(3〜5万),38000,2,76000,○,新樽の分かりやすい満足感
25,白,ドメーヌ ルフレーヴ ピュリニー モンラッシェ 2021,Domaine Leflaive,2021,フランス / ブルゴーニュ,Chardonnay,750,B(3〜5万),50000,3,150000,○,ルフレーヴ。白の看板
26,白,シャトー ディケム 2016 375ml,Château d'Yquem,2016,フランス / ボルドー ソーテルヌ,Sémillon / Sauvignon Blanc,375,C(5〜10万),55000,2,110000,○,食後・デセール。ハーフで回す
27,白,コルトン シャルルマーニュ グラン クリュ 2020,Louis Latour,2020,フランス / ブルゴーニュ,Chardonnay,750,C(5〜10万),65000,1,65000,◎,GC白で最も再現性が高い
28,白,ドメーヌ ルフレーヴ ピュリニー モンラッシェ 1er クリュ フォラティエール 2021,Domaine Leflaive,2021,フランス / ブルゴーニュ,Chardonnay,750,C(5〜10万),95000,2,190000,△,ルフレーヴ上位。指名対応
29,白,ムルソー 1er クリュ ジュヌヴリエール 2021,Domaine des Comtes Lafon,2021,フランス / ブルゴーニュ,Chardonnay,750,D(10〜20万),130000,1,130000,△,ムルソーの最高峰格
30,白,シュヴァリエ モンラッシェ グラン クリュ 2021,Bouchard Père & Fils,2021,フランス / ブルゴーニュ,Chardonnay,750,D(10〜20万),160000,1,160000,○,白の帯D頂点。GC名で完結
31,赤,シャトー タルボ 2019,Château Talbot,2019,フランス / ボルドー サンジュリアン,Cab.S / Merlot / Petit Verdot,750,A(〜3万),18000,5,90000,◎,赤の基準ボトル。最回転
32,赤,ケイマス ナパ ヴァレー カベルネ ソーヴィニヨン 2022,Caymus Vineyards,2022,アメリカ / ナパ・ヴァレー,Cabernet Sauvignon,750,A(〜3万),25000,4,100000,◎,甘やか濃厚。万人受け
33,赤,ティニャネロ 2022,Antinori,2022,イタリア / トスカーナ,Sangiovese / Cab.S / Cab.Franc,750,A(〜3万),28000,4,112000,◎,知名度・供給とも安定
34,赤,シルバーオーク アレクサンダー ヴァレー カベルネ ソーヴィニヨン 2020,Silver Oak,2020,アメリカ / アレクサンダー・ヴァレー,Cabernet Sauvignon,750,A(〜3万),28000,3,84000,◎,米系。接待需要
35,赤,シャトー カロン セギュール 2020,Château Calon Ségur,2020,フランス / ボルドー サンテステフ,Cab.S / Merlot / Cab.Franc,750,B(3〜5万),35000,5,175000,◎,ハートラベル。記念日の主力
36,赤,サッシカイア 2021,Tenuta San Guido,2021,イタリア / ボルゲリ,Cab.S / Cabernet Franc,750,B(3〜5万),45000,3,135000,○,イタリア最強の指名銘柄
37,赤,オルネッライア 2021,Ornellaia,2021,イタリア / ボルゲリ,Cab.S / Merlot / Cab.Franc / Petit Verdot,750,B(3〜5万),45000,2,90000,○,サッシカイアの対抗
38,赤,ケンゾー エステート 紫鈴 rindo 2022,Kenzo Estate,2022,アメリカ / ナパ・ヴァレー,Cab.S / Merlot / Cab.Franc,750,B(3〜5万),38000,3,114000,○,日本人オーナー。和食に強い
39,赤,ジュヴレ シャンベルタン 2021,Domaine Faiveley,2021,フランス / ブルゴーニュ,Pinot Noir,750,B(3〜5万),35000,3,105000,◎,ブルゴーニュ赤の入口
40,赤,オーパス ワン 2021,Opus One,2021,アメリカ / ナパ・ヴァレー,Cab.S / Merlot / Cab.Franc / Petit Verdot,750,C(5〜10万),85000,6,510000,◎,赤の最重要SKU。指名の基準点
41,赤,シャトー パルメ 2018,Château Palmer,2018,フランス / ボルドー マルゴー,Merlot / Cab.S / Petit Verdot,750,C(5〜10万),95000,2,190000,○,3級だが格上扱い。マルゴー村
42,赤,ドミナス 2021,Dominus Estate,2021,アメリカ / ナパ・ヴァレー,Cab.S / Cab.Franc / Petit Verdot,750,C(5〜10万),85000,2,170000,○,オーパスの対抗軸
43,赤,ヴォーヌ ロマネ 1er クリュ 2021,Louis Jadot,2021,フランス / ブルゴーニュ,Pinot Noir,750,C(5〜10万),95000,2,190000,○,ヴォーヌ・ロマネの名前で売る
44,赤,ケンゾー エステート 藍 ai 2020,Kenzo Estate,2020,アメリカ / ナパ・ヴァレー,Cab.S / Merlot / Cab.Franc / Petit Verdot,750,C(5〜10万),75000,2,150000,○,ケンゾー上位。贈答・接待
45,赤,シャトー ムートン ロートシルト 2017,Château Mouton Rothschild,2017,フランス / ボルドー ポイヤック,Cab.S / Merlot / Cab.Franc,750,D(10〜20万),130000,1,130000,○,五大。ラベル毎年替わりが話題に
46,赤,シャトー オー ブリオン 2017,Château Haut-Brion,2017,フランス / ボルドー ペサック・レオニャン,Merlot / Cab.S / Cab.Franc,750,D(10〜20万),130000,1,130000,○,五大。グラーヴ唯一
47,赤,シャトー マルゴー 2017,Château Margaux,2017,フランス / ボルドー マルゴー,Cab.S / Merlot / Petit Verdot,750,D(10〜20万),150000,1,150000,○,五大。最も指名が通る
48,赤,シャトー ラトゥール 2014,Château Latour,2014,フランス / ボルドー ポイヤック,Cab.S / Merlot,750,D(10〜20万),180000,1,180000,○,五大。蔵出し後リリース
49,赤,シャトー ラフィット ロートシルト 2017,Château Lafite Rothschild,2017,フランス / ボルドー ポイヤック,Cab.S / Merlot,750,D(10〜20万),180000,1,180000,○,五大。中華圏の指名に強い
50,赤,シャンベルタン クロ ド ベーズ グラン クリュ 2020,Louis Jadot,2020,フランス / ブルゴーニュ,Pinot Noir,750,D(10〜20万),150000,1,150000,◎,ブルゴーニュ赤の頂点枠
